timestamp,Last,High,Low,long_signal,short_signal
0,100.00,100.10,99.90,False,False
1,100.00,100.10,99.90,False,False
2,100.00,100.10,99.90,True,False
3,100.50,100.60,100.40,False,False
4,101.00,101.20,100.90,False,False
5,101.25,101.40,101.10,False,False
6,100.00,100.10,99.90,False,False
7,100.00,100.10,99.90,False,False
8,100.00,100.10,99.90,False,True
9,100.50,100.60,100.40,False,False
10,101.00,101.20,100.90,False,False
11,100.00,100.10,99.90,False,False
12,100.00,100.10,99.90,False,False
13,100.00,100.10,99.90,False,False
14,100.00,100.10,99.90,False,False
15,100.00,100.10,99.90,True,False
16,100.05,100.15,99.95,False,False
17,100.10,100.20,100.00,False,False
18,100.05,100.15,99.95,False,False
19,100.10,100.20,100.00,False,False
20,100.05,100.15,99.95,False,False
21,100.10,100.20,100.00,False,False
22,100.05,100.15,99.95,False,False
23,100.10,100.20,100.00,False,False
24,100.05,100.15,99.95,False,False
25,100.10,100.20,100.00,False,False
26,100.00,100.10,99.90,False,False
27,100.00,100.10,99.90,False,False
28,100.00,100.10,99.90,False,True
29,99.50,99.60,99.40,False,False
30,99.00,99.10,98.70,False,False
31,100.00,100.10,99.90,False,False
32,100.00,100.10,99.90,False,False
33,100.00,100.10,99.90,False,False
34,100.00,100.10,99.90,False,False
35,100.00,100.10,99.90,True,False
36,99.50,99.60,99.40,False,False
37,99.00,99.10,98.80,False,False
38,100.00,100.10,99.90,False,False
39,100.00,100.10,99.90,False,False
40,100.00,100.10,99.90,False,False
41,100.00,100.10,99.90,False,False
42,100.00,100.10,99.90,False,True
43,100.05,100.15,99.95,False,False
44,100.10,100.20,100.00,False,False
45,100.05,100.15,99.95,False,False
46,100.10,100.20,100.00,False,False
47,100.05,100.15,99.95,False,False
48,100.10,100.20,100.00,False,False
49,100.05,100.15,99.95,False,False
